cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
382,0,0,185,0,1047,739,28,37.42
149,118,92,183,7,953,780,28,23.52
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
387,20,94,157,11.6,938,845,56,61.46
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
326,0,138,199,11,801,792,28,40.68
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
200,200,0,190,0,1145,660,28,49.25
331,0,0,192,0,978,825,180,39
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
234,156,0,189,5.9,981,760,28,39.3
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
350,0,0,186,0,1050,770,7,20.28
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
480,0,0,192,0,936.2,712.2,7,34.57
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
332.5,142.5,0,228,0,932,594,365,41.05
350,0,0,203,0,974,775,56,29.98
237,92,71,247,6,853,695,28,28.63
238.1,0,94.1,186.7,7,949.9,847,100,44.3
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
200,133,0,192,0,965.4,806.2,3,11.41
342,38,0,228,0,932,670,90,50.46
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
500,0,0,200,0,1125,613,14,36.94
284,15,141,179,5.5,842,801,7,24.13
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
116,173,0,192,0,909.8,891.9,90,31.02
277,0,0,191,0,968,856,90,31.25
376,0,0,214.6,0,1003.5,762.4,100,43.06
236,0,0,194,0,968,885,14,12.84
273,0,90,199,11,931,762,28,32.24
500,0,0,140,4,966,853,28,67.57
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
139.6,209.4,0,192,0,1047,806.9,7,14.59
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
427.5,47.5,0,228,0,932,594,180,41.84
183.9,122.6,0,203.5,0,959.2,800,3,4.9
475,0,59,142,1.9,1098,641,28,57.23
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
252,97,76,194,8,835,821,28,33.4
237.5,237.5,0,228,0,932,594,180,36.25
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
540,0,0,162,2.5,1055,676,28,61.89
313,0,113,178,8,1002,689,28,36.8
380,0,0,228,0,932,670,180,53.1
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
436,0,0,218,0,838.4,719.7,28,23.85
155,0,143,193,9,877,868,28,9.74
281,0,0,186,0,1104,774,7,14.5
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
397,17.2,158,167,20.8,967,633,28,55.65
238,0,0,186,0,1119,789,7,12.05
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
385,0,0,186,0,966,763,28,31.35
302,0,0,203,0,974,817,14,18.13
192,288,0,192,0,929.8,716.1,3,12.79
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
160,128,122,182,6.4,824,879,28,39.4
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
331,0,0,192,0,978,825,7,16.26
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
155,183,0,193,9,877,868,28,23.79
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
446,24,79,162,11.6,967,712,56,61.07
133,210,0,196,3,949,795,28,31.03
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
236,0,0,193,0,968,885,7,9.99
236,0,0,193,0,968,885,365,25.08
339,0,0,197,0,968,781,3,13.22
387,20,94,157,14.3,938,845,56,56.34
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
387,20,94,157,13.9,938,845,28,46.68
133,200,0,192,0,927.4,839.2,3,6.88
162,214,164,202,10,820,680,28,30.65
262,111,86,195,5,895,733,28,33.72
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
332.5,142.5,0,228,0,932,594,90,37.72
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
302,0,0,203,0,974,817,180,26.74
183.9,122.6,0,203.5,0,959.2,800,90,32.53
500,0,0,200,0,1125,613,7,33.21
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
387,20,94,157,11.6,938,845,28,46.68
380,95,0,228,0,932,594,270,41.15
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
160,188,146,203,11,829,710,28,32.84
322,0,0,203,0,974,800,180,29.59
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
252,0,0,186,0,1111,784,7,11.47
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
198.6,132.4,0,192,0,978.4,825.5,360,44.3
116,173,0,192,0,909.8,891.9,28,22.35
304,76,0,228,0,932,670,365,55.26
331,0,0,192,0,978,825,28,31.45
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
349,0,0,192,0,1047,806,7,18.13
520,0,0,170,5.2,855,855,28,60.28
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
446,24,79,162,11.6,967,712,28,44.42
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
322,149,0,186,8,951,709,28,52.42
446,24,79,162,11.6,967,712,28,57.03
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
276,116,90,180,9,870,768,28,44.28
393,0,0,192,0,940.6,785.6,90,48.85
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
389.9,189,0,145.9,22,944.7,755.8,3,40.6
157,236,0,192,0,935.4,781.2,90,43.38
296,0,0,192,0,1085,765,7,14.2
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
359,19,141,154,10.9,942,801,28,59.49
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
102,153,0,192,0,887,942,7,7.68
202,11,141,206,1.7,942,801,3,9.85
350,0,0,203,0,974,775,14,22.53
236,157,0,192,0,972.6,749.1,28,32.88
252,0,0,185,0,1111,784,7,13.71
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
315,137,0,145,5.9,1130,745,28,81.75
159,209,161,201,7,848,669,28,30.88
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
281,0,0,186,0,1104,774,28,22.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
266,114,0,228,0,932,670,365,52.91
277,0,0,191,0,968,856,180,32.33
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
397,0,0,185.7,0,1040.6,734.3,7,25.45
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
190,190,0,228,0,932,670,180,46.93
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
349,0,0,192,0,1047,806,90,39.49
184,86,190,213,6,923,623,28,22.93
424,22,132,178,8.5,822,750,7,39
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
156,243,0,180,11,1022,698,28,37.36
136,196,98,199,6,847,783,28,26.97
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
385,0,0,186,0,966,763,3,14.7
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
254,0,0,198,0,968,863,90,26.94
359,19,141,154,10.9,942,801,3,23.64
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
382,0,0,186,0,1047,739,7,24
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
144,170,133,192,8,814,805,28,29.87
310,0,0,192,0,1012,830,90,35.76
425,106.3,0,151.4,18.6,936,803.7,56,64.9
108.3,162.4,0,203.5,0,938.2,849,3,2.33
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
310,0,0,192,0,1012,830,28,27.83
522,0,0,146,0,896,896,7,50.51
236,0,0,194,0,968,885,3,6.47
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
149,153,194,192,8,935,623,28,24.58
439,177,0,186,11.1,884.9,707.9,56,71.7
313,145,0,178,8,1002,689,28,41.05
427.5,47.5,0,228,0,932,594,90,41.54
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
393,0,0,192,0,940,758,90,48.79
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
200,0,0,180,0,1125,845,28,12.25
108.3,162.4,0,203.5,0,938.2,849,90,29.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
153,239,0,200,6,1002,684,28,26.86
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
322,0,0,203,0,974,800,14,20.77
525,0,0,189,0,1125,613,270,67.11
389.9,189,0,145.9,22,944.7,755.8,56,79.4
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
310,0,0,192,0,1012,830,7,17.24
266,114,0,228,0,932,670,270,51.73
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
366,187,0,191.3,6.6,824.3,756.9,28,65.91
333,0,0,192,0,931.2,842.6,3,15.62
326,166,0,174,9,882,790,28,61.23
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
133,200,0,192,0,927.4,839.2,7,13.66
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
500,0,0,200,0,1125,613,270,55.16
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
349,0,0,192,0,1056,809,120,40.86
389.9,189,0,145.9,22,944.7,755.8,28,74.5
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
166,260,0,183,13,859,827,28,37.91
277,116.8,91,190.6,7,946.5,665.6,28,43.58
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
439,177,0,186,11.1,884.9,707.9,28,66
540,0,0,173,0,1125,613,3,41.64
480,0,0,192,0,936.2,712.2,28,43.94
382,0,0,186,0,1047,739,28,37.42
475,0,0,228,0,932,594,90,42.23
143,169,143,191,8,967,643,28,29.72
203.5,305.3,0,203.5,0,963.4,630,90,51.86
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
153,145,113,178,8,867,824,28,26.23
450.1,50,0,200,3,1124.4,613.2,28,39.38
238,0,0,186,0,1119,789,28,17.54
380,0,0,228,0,932,670,90,52.91
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
528,0,0,185,6.9,920,720,28,56.83
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
475,0,0,228,0,932,594,270,42.13
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
198.6,132.4,0,192,0,978.4,825.5,3,9.13
491,26,123,201,3.9,822,699,7,37.92
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
342,38,0,228,0,932,670,180,52.12
387,20,94,157,13.9,938,845,7,45.9
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
281,0,0,185,0,1104,774,28,22.44
198.6,132.4,0,192,0,978.4,825.5,90,38.07
491,26,123,210,3.9,882,699,28,55.55
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
144,0,175,158,18,943,844,28,15.42
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
236,0,0,193,0,968,885,180,24.1
540,0,0,173,0,1125,613,270,74.17
295,0,0,185,0,1069,769,7,14.8
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
339,0,0,185,0,1069,754,28,31.84
505,0,60,195,0,1030,630,28,64.02
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
139.6,209.4,0,192,0,1047,806.9,360,44.7
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
376,0,0,214.6,0,1003.5,762.4,14,25.62
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
157,236,0,192,0,935.4,781.2,7,16.89
304,76,0,228,0,932,670,28,47.81
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
304,140,0,214,6,895,722,28,33.42
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
252,0,0,185,0,1111,784,28,19.69
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
350,0,0,203,0,974,775,90,31.35
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
236,157,0,192,0,972.6,749.1,90,47.78
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
289,134,0,195,6,924,760,28,46.24
298,137,107,201,6,878,655,28,53.52
192,288,0,192,0,929.8,716.1,90,50.73
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
